display  D   display_settings.c:527  _al_score_display_settings       [   0.09075] Score is : 801
display  D   display_settings.c:212  debug_display_settings           [   0.09088] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.09102] Score is : 809
display  D   display_settings.c:212  debug_display_settings           [   0.09117] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.09134] Score is : 817
display  D   display_settings.c:212  debug_display_settings           [   0.09150] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.09175] Score is : 825
display  D   display_settings.c:212  debug_display_settings           [   0.09193] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.09212] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.09229] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.09246] Score is : 641
display  D   display_settings.c:212  debug_display_settings           [   0.09261] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.09275] Score is : 641
display  D   display_settings.c:212  debug_display_settings           [   0.09288] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.09302] Score is : 785
display  D   display_settings.c:212  debug_display_settings           [   0.09316] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.09331] Score is : 793
display  D   display_settings.c:212  debug_display_settings           [   0.09343] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.09356] Score is : 801
display  D   display_settings.c:212  debug_display_settings           [   0.09367] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.09380] Score is : 809
display  D   display_settings.c:212  debug_display_settings           [   0.09392] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.09406] Score is : 817
display  D   display_settings.c:212  debug_display_settings           [   0.09418] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.09431] Score is : 825
display  D   display_settings.c:212  debug_display_settings           [   0.09442] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.09455] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.09468] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.09484] Score is : 641
display  D   display_settings.c:212  debug_display_settings           [   0.09500] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.09518] Score is : 641
display  D   display_settings.c:212  debug_display_settings           [   0.09534] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.09550] Score is : 785
display  D   display_settings.c:212  debug_display_settings           [   0.09566] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.09591] Score is : 793
display  D   display_settings.c:212  debug_display_settings           [   0.09605] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.09620] Score is : 801
display  D   display_settings.c:212  debug_display_settings           [   0.09633] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.09653] Score is : 809
display  D   display_settings.c:212  debug_display_settings           [   0.09667] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.09685] Score is : 817
display  D   display_settings.c:212  debug_display_settings           [   0.09699] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.09715] Score is : 825
display  D   display_settings.c:212  debug_display_settings           [   0.09730] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.09746] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.09761] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.09776] Score is : 641
display  D   display_settings.c:212  debug_display_settings           [   0.09788] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.09803] Score is : 641
display  D   display_settings.c:212  debug_display_settings           [   0.09816] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.09829] Score is : 785
display  D   display_settings.c:212  debug_display_settings           [   0.09840] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.09856] Score is : 793
display  D   display_settings.c:212  debug_display_settings           [   0.09871] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.09884] Score is : 801
display  D   display_settings.c:212  debug_display_settings           [   0.09897] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 5/1
